position_noise,position_filtred
  2668.06,  2664.20
  2652.01,  2664.20
  2699.36,  2696.20
  2667.31,  2696.20
  2719.11,  2728.20
  2733.73,  2728.20
  2745.11,  2760.20
  2786.49,  2760.20
  2789.91,  2792.20
  2781.21,  2792.20
  2843.89,  2824.20
  2790.03,  2824.20
  2831.60,  2856.20
  2860.96,  2856.20
  2870.42,  2888.20
  2908.49,  2888.20
  2931.68,  2920.20
  2933.98,  2920.20
  2925.60,  2952.20
  2928.33,  2952.20
  2993.00,  2984.20
  2953.49,  2984.20
  3029.97,  3016.20
  3005.63,  3016.20
  3014.69,  3048.20
  3028.19,  3048.20
  3097.78,  3080.20
  3064.15,  3080.20
  3119.31,  3112.20
  3151.02,  3112.20
  3125.22,  3144.20
  3090.76,  3144.20
  3188.84,  3176.20
  3195.53,  3176.20
  3183.87,  3208.20
  3203.87,  3208.20
  3256.45,  3240.20
  3248.09,  3240.20
  3253.91,  3272.20
  3257.28,  3272.20
  3284.31,  3304.20
  3283.98,  3304.20
  3336.90,  3336.20
  3336.93,  3336.20
  3348.37,  3368.20
  3376.90,  3368.20
  3373.58,  3400.20
  3383.71,  3400.20
  3419.58,  3432.20
  3396.30,  3432.20
  3446.44,  3464.20
  3452.49,  3464.20
  3495.28,  3496.20
  3465.29,  3496.20
  3542.24,  3528.20
  3514.00,  3528.20
  3572.19,  3560.20
  3560.99,  3560.20
  3584.72,  3592.20
  3572.70,  3592.20
  3609.04,  3624.20
  3662.92,  3624.20
  3649.99,  3656.20
  3681.21,  3656.20
  3677.68,  3688.20
  3657.21,  3688.20
  3692.83,  3720.20
  3710.90,  3720.20
  3747.72,  3752.20
  3771.51,  3752.20
  3788.42,  3784.20
  3793.97,  3784.20
  3807.94,  3816.20
  3790.92,  3816.20
  3857.84,  3848.20
  3852.33,  3848.20
  3880.14,  3880.20
  3890.21,  3880.20
  3935.14,  3912.20
  3920.68,  3912.20
  3969.80,  3944.20
  3949.74,  3944.20
  3986.15,  3976.20
  3985.72,  3976.20
  4017.52,  4008.20
  4021.82,  4008.20
  4031.75,  4040.20
  4005.98,  4040.20
  4063.44,  4072.20
  4077.62,  4072.20
  4100.96,  4104.20
  4140.66,  4104.20
  4131.30,  4136.20
  4096.35,  4136.20
  4150.95,  4168.20
  4165.58,  4168.20
  4184.49,  4200.20
  4211.85,  4200.20
  4234.17,  4232.20
  4212.09,  4232.20
  4257.19,  4264.20
  4288.03,  4264.20
  4307.44,  4296.20
  4299.93,  4296.20
  4317.10,  4328.20
  4299.73,  4328.20
  4361.55,  4360.20
  4341.18,  4360.20
  4397.61,  4392.20
  4367.18,  4392.20
  4413.63,  4424.20
  4419.38,  4424.20
  4460.14,  4456.20
  4443.94,  4456.20
  4492.39,  4488.20
  4511.83,  4488.20
  4508.38,  4520.20
  4541.00,  4520.20
  4546.17,  4552.20
  4574.72,  4552.20
  4596.69,  4584.20
  4595.38,  4584.20
  4596.42,  4616.20
  4642.42,  4616.20
  4669.92,  4648.20
  4648.95,  4648.20
  4728.24,  4680.20
  4665.53,  4680.20
  4692.01,  4712.20
  4684.64,  4712.20
  4746.37,  4744.20
  4719.99,  4744.20
  4740.76,  4776.20
  4774.17,  4776.20
  4826.85,  4808.20
  4818.56,  4808.20
