position_noise,position_filtred,real_position,pos1,pos2,pos3
 -2982.92, -2965.28, -2972.09, -2982.92, -2961.39, -2961.01
 -2957.29, -2965.28, -2966.52, -2957.29, -2982.92, -2961.39
 -2960.30, -2949.28, -2963.07, -2960.30, -2957.29, -2982.92
 -2931.70, -2949.28, -2945.50, -2931.70, -2960.30, -2957.29
 -2944.16, -2933.28, -2942.70, -2944.16, -2931.70, -2960.30
 -2923.81, -2933.28, -2931.91, -2923.81, -2944.16, -2931.70
 -2941.11, -2917.28, -2935.85, -2941.11, -2923.81, -2944.16
 -2925.84, -2917.28, -2930.59, -2925.84, -2941.11, -2923.81
 -2888.07, -2901.28, -2909.50, -2888.07, -2925.84, -2941.11
 -2887.84, -2901.28, -2894.25, -2887.84, -2888.07, -2925.84
 -2870.66, -2885.28, -2879.29, -2870.66, -2887.84, -2888.07
 -2874.15, -2885.28, -2875.27, -2874.15, -2870.66, -2887.84
 -2845.67, -2869.28, -2859.33, -2845.67, -2874.15, -2870.66
 -2880.42, -2869.28, -2867.79, -2880.42, -2845.67, -2874.15
 -2858.34, -2853.28, -2863.59, -2858.34, -2880.42, -2845.67
 -2826.52, -2853.28, -2846.11, -2826.52, -2858.34, -2880.42
 -2841.56, -2837.28, -2839.34, -2841.56, -2826.52, -2858.34
 -2826.19, -2837.28, -2831.37, -2826.19, -2841.56, -2826.52
 -2851.04, -2821.28, -2841.17, -2851.04, -2826.19, -2841.56
 -2810.28, -2821.28, -2826.52, -2810.28, -2851.04, -2826.19
 -2805.23, -2805.28, -2814.55, -2805.23, -2810.28, -2851.04
 -2800.28, -2805.28, -2803.59, -2800.28, -2805.23, -2810.28
 -2796.75, -2789.28, -2799.34, -2796.75, -2800.28, -2805.23
 -2797.77, -2789.28, -2797.85, -2797.77, -2796.75, -2800.28
 -2796.49, -2773.28, -2796.96, -2796.49, -2797.77, -2796.75
 -2777.64, -2773.28, -2787.28, -2777.64, -2796.49, -2797.77
 -2786.90, -2757.28, -2785.41, -2786.90, -2777.64, -2796.49
 -2768.02, -2757.28, -2775.92, -2768.02, -2786.90, -2777.64
 -2791.76, -2741.28, -2783.03, -2791.76, -2768.02, -2786.90
 -2736.01, -2741.28, -2759.93, -2736.01, -2791.76, -2768.02
 -2741.14, -2725.28, -2747.87, -2741.14, -2736.01, -2791.76
 -2708.41, -2725.28, -2723.92, -2708.41, -2741.14, -2736.01
 -2706.21, -2709.28, -2712.76, -2706.21, -2708.41, -2741.14
 -2766.65, -2709.28, -2736.79, -2766.65, -2706.21, -2708.41
 -2669.58, -2693.28, -2708.04, -2669.58, -2766.65, -2706.21
 -2705.73, -2693.28, -2703.83, -2705.73, -2669.58, -2766.65
 -2696.44, -2677.28, -2695.06, -2696.44, -2705.73, -2669.58
 -2693.32, -2677.28, -2696.43, -2693.32, -2696.44, -2705.73
